data_dir,C,DB_H,DB_V,SB,N
2025-06-03--11h-17m-10s,4.0,1.0,25.0,10.0,40.0
2025-06-03--11h-17m-10s,2.0,1.0,23.0,14.0,40.0
2025-06-03--11h-17m-10s,4.0,1.0,23.0,12.0,40.0
2025-06-03--11h-17m-10s,1.0,1.0,25.0,13.0,40.0
2025-06-03--11h-17m-10s,0.0,0.0,27.0,13.0,40.0
2025-06-03--11h-17m-10s,4.0,1.0,27.0,8.0,40.0
2025-06-03--11h-17m-10s,1.0,1.0,28.0,10.0,40.0
2025-06-03--11h-17m-10s,2.0,5.0,23.0,10.0,40.0
2025-06-03--11h-17m-10s,3.0,1.0,25.0,11.0,40.0
2025-06-03--11h-17m-10s,1.0,0.0,28.0,11.0,40.0
2025-06-03--11h-17m-10s,0.0,1.0,26.0,13.0,40.0
2025-06-03--11h-17m-10s,0.0,2.0,28.0,10.0,40.0
2025-06-03--11h-17m-10s,2.0,1.0,29.0,8.0,40.0
2025-06-03--11h-17m-10s,3.0,2.0,27.0,8.0,40.0
2025-06-03--11h-17m-10s,1.0,0.0,28.0,11.0,40.0
2025-06-03--11h-17m-10s,1.0,1.0,27.0,11.0,40.0
2025-06-03--11h-17m-10s,1.0,0.0,31.0,8.0,40.0
2025-06-03--11h-17m-10s,0.0,3.0,25.0,12.0,40.0
2025-06-03--11h-17m-10s,3.0,1.0,21.0,15.0,40.0
2025-06-03--11h-17m-10s,1.0,1.0,26.0,12.0,40.0
2025-06-03--11h-17m-10s,1.0,1.0,27.0,11.0,40.0
2025-06-03--11h-17m-10s,1.0,1.0,31.0,7.0,40.0
2025-06-03--11h-17m-10s,2.0,1.0,30.0,7.0,40.0
2025-06-03--11h-17m-10s,3.0,1.0,26.0,10.0,40.0
2025-06-03--11h-17m-10s,1.0,1.0,28.0,10.0,40.0
2025-06-03--11h-17m-10s,0.0,1.0,33.0,6.0,40.0
2025-06-03--11h-17m-10s,0.0,0.0,38.0,2.0,40.0
2025-06-03--11h-17m-10s,3.0,1.0,27.0,9.0,40.0
2025-06-03--11h-17m-10s,2.0,0.0,27.0,11.0,40.0
2025-06-03--11h-17m-10s,3.0,1.0,28.0,8.0,40.0
2025-06-03--11h-17m-10s,0.0,2.0,32.0,6.0,40.0
2025-06-03--11h-17m-10s,0.0,0.0,32.0,8.0,40.0
2025-06-03--11h-17m-10s,1.0,1.0,25.0,13.0,40.0
2025-06-03--11h-17m-10s,3.0,0.0,29.0,8.0,40.0
2025-06-03--11h-17m-10s,3.0,2.0,26.0,9.0,40.0
2025-06-03--11h-17m-10s,1.0,0.0,32.0,7.0,40.0
2025-06-03--11h-17m-10s,0.0,3.0,26.0,11.0,40.0
2025-06-03--11h-17m-10s,1.0,3.0,30.0,6.0,40.0
2025-06-03--11h-17m-10s,0.0,4.0,30.0,6.0,40.0
2025-06-03--11h-17m-10s,1.0,2.0,28.0,9.0,40.0
2025-06-03--11h-17m-10s,2.0,0.0,29.0,9.0,40.0
2025-06-03--11h-17m-10s,3.0,0.0,26.0,11.0,40.0
2025-06-03--11h-17m-10s,3.0,0.0,28.0,9.0,40.0
2025-06-03--11h-17m-10s,1.0,1.0,31.0,7.0,40.0
2025-06-03--11h-17m-10s,1.0,0.0,33.0,6.0,40.0
2025-06-03--11h-17m-10s,2.0,1.0,22.0,15.0,40.0
2025-06-03--11h-17m-10s,4.0,0.0,27.0,9.0,40.0
2025-06-03--11h-17m-10s,0.0,1.0,28.0,11.0,40.0
2025-06-03--11h-17m-10s,0.0,0.0,27.0,13.0,40.0
2025-06-03--11h-17m-10s,1.0,0.0,29.0,10.0,40.0
2025-06-03--11h-17m-10s,7.0,0.0,21.0,12.0,40.0
2025-06-03--11h-17m-10s,2.0,0.0,24.0,14.0,40.0
2025-06-03--11h-17m-10s,4.0,1.0,24.0,11.0,40.0
2025-06-03--11h-17m-10s,2.0,0.0,24.0,14.0,40.0
2025-06-03--11h-17m-10s,2.0,0.0,29.0,9.0,40.0
2025-06-03--11h-17m-10s,2.0,0.0,32.0,6.0,40.0
2025-06-03--11h-17m-10s,0.0,0.0,28.0,12.0,40.0
2025-06-03--11h-17m-10s,0.0,0.0,28.0,12.0,40.0
2025-06-03--11h-17m-10s,2.0,1.0,26.0,11.0,40.0
2025-06-03--11h-17m-10s,2.0,0.0,28.0,10.0,40.0
2025-06-03--11h-17m-10s,2.0,2.0,26.0,10.0,40.0
2025-06-03--11h-17m-10s,2.0,0.0,28.0,10.0,40.0
2025-06-03--11h-17m-10s,0.0,0.0,34.0,6.0,40.0
2025-06-03--11h-17m-10s,3.0,0.0,28.0,9.0,40.0
2025-06-03--11h-17m-10s,1.0,0.0,28.0,11.0,40.0
2025-06-03--11h-17m-10s,2.0,1.0,28.0,9.0,40.0
2025-06-03--11h-17m-10s,3.0,0.0,31.0,6.0,40.0
2025-06-03--11h-17m-10s,1.0,0.0,37.0,2.0,40.0
2025-06-03--11h-17m-10s,1.0,1.0,29.0,9.0,40.0
2025-06-03--11h-17m-10s,1.0,1.0,30.0,8.0,40.0
2025-06-03--11h-17m-10s,2.0,0.0,24.0,14.0,40.0
2025-06-03--11h-17m-10s,0.0,0.0,24.0,16.0,40.0
2025-06-03--11h-17m-10s,2.0,1.0,24.0,13.0,40.0
2025-06-03--11h-17m-10s,0.0,2.0,25.0,13.0,40.0
2025-06-03--11h-17m-10s,2.0,0.0,30.0,8.0,40.0
2025-06-03--11h-17m-10s,1.0,1.0,29.0,9.0,40.0
2025-06-03--11h-17m-10s,2.0,1.0,27.0,10.0,40.0
2025-06-03--11h-17m-10s,2.0,1.0,25.0,12.0,40.0
2025-06-03--11h-17m-10s,2.0,0.0,31.0,7.0,40.0
2025-06-03--11h-17m-10s,1.0,2.0,29.0,8.0,40.0
2025-06-03--11h-17m-10s,0.0,1.0,30.0,9.0,40.0
2025-06-03--11h-17m-10s,3.0,0.0,31.0,6.0,40.0
2025-06-03--11h-17m-10s,2.0,2.0,29.0,7.0,40.0
2025-06-03--11h-17m-10s,2.0,4.0,31.0,3.0,40.0
2025-06-03--11h-17m-10s,1.0,1.0,29.0,9.0,40.0
2025-06-03--11h-17m-10s,2.0,0.0,30.0,8.0,40.0
2025-06-03--11h-17m-10s,4.0,1.0,28.0,7.0,40.0
2025-06-03--11h-17m-10s,1.0,0.0,26.0,13.0,40.0
2025-06-03--11h-17m-10s,0.0,1.0,31.0,8.0,40.0
2025-06-03--11h-17m-10s,3.0,0.0,27.0,10.0,40.0
2025-06-03--11h-17m-10s,2.0,0.0,28.0,10.0,40.0
2025-06-03--11h-17m-10s,1.0,0.0,24.0,15.0,40.0
2025-06-03--11h-17m-10s,2.0,2.0,27.0,9.0,40.0
2025-06-03--11h-17m-10s,2.0,1.0,27.0,10.0,40.0
2025-06-03--11h-17m-10s,3.0,0.0,30.0,7.0,40.0
2025-06-03--11h-17m-10s,2.0,1.0,26.0,11.0,40.0
2025-06-03--11h-17m-10s,1.0,1.0,32.0,6.0,40.0
2025-06-03--11h-17m-10s,1.0,0.0,29.0,10.0,40.0
2025-06-03--11h-17m-10s,0.0,0.0,29.0,11.0,40.0
2025-06-03--11h-17m-10s,0.0,3.0,28.0,9.0,40.0
2025-06-03--11h-17m-10s,0.0,0.0,29.0,11.0,40.0
2025-06-03--11h-17m-10s,0.0,2.0,28.0,10.0,40.0
2025-06-03--11h-17m-10s,0.0,0.0,27.0,13.0,40.0
2025-06-03--11h-17m-10s,1.0,1.0,29.0,9.0,40.0
2025-06-03--11h-17m-10s,0.0,1.0,33.0,6.0,40.0
2025-06-03--11h-17m-10s,3.0,0.0,29.0,8.0,40.0
2025-06-03--11h-17m-10s,1.0,0.0,28.0,11.0,40.0
2025-06-03--11h-17m-10s,2.0,1.0,26.0,11.0,40.0
2025-06-03--11h-17m-10s,2.0,2.0,24.0,12.0,40.0
2025-06-03--11h-17m-10s,3.0,0.0,31.0,6.0,40.0
2025-06-03--11h-17m-10s,1.0,0.0,28.0,11.0,40.0
2025-06-03--11h-17m-10s,0.0,1.0,35.0,4.0,40.0
2025-06-03--11h-17m-10s,2.0,0.0,33.0,5.0,40.0
2025-06-03--11h-17m-10s,3.0,2.0,22.0,13.0,40.0
2025-06-03--11h-17m-10s,1.0,1.0,27.0,11.0,40.0
2025-06-03--11h-17m-10s,3.0,1.0,30.0,6.0,40.0
2025-06-03--11h-17m-10s,2.0,2.0,27.0,9.0,40.0
2025-06-03--11h-17m-10s,0.0,2.0,26.0,12.0,40.0
2025-06-03--11h-17m-10s,2.0,1.0,29.0,8.0,40.0
2025-06-03--11h-17m-10s,0.0,1.0,25.0,14.0,40.0
2025-06-03--11h-17m-10s,1.0,2.0,30.0,7.0,40.0
2025-06-03--11h-17m-10s,0.0,2.0,27.0,11.0,40.0
2025-06-03--11h-17m-10s,0.0,3.0,33.0,4.0,40.0
2025-06-03--11h-17m-10s,2.0,0.0,24.0,14.0,40.0
2025-06-03--11h-17m-10s,0.0,1.0,28.0,11.0,40.0
2025-06-03--11h-17m-10s,0.0,2.0,19.0,19.0,40.0
2025-06-03--11h-17m-10s,1.0,0.0,28.0,11.0,40.0
2025-06-03--11h-17m-10s,1.0,2.0,23.0,14.0,40.0
2025-06-03--11h-17m-10s,2.0,1.0,29.0,8.0,40.0
2025-06-03--11h-17m-10s,1.0,2.0,29.0,8.0,40.0
2025-06-03--11h-17m-10s,0.0,1.0,27.0,12.0,40.0
2025-06-03--11h-17m-10s,1.0,1.0,29.0,9.0,40.0
2025-06-03--11h-17m-10s,3.0,0.0,32.0,5.0,40.0
2025-06-03--11h-17m-10s,2.0,2.0,25.0,11.0,40.0
2025-06-03--11h-17m-10s,1.0,0.0,33.0,6.0,40.0
2025-06-03--11h-17m-10s,3.0,1.0,19.0,17.0,40.0
2025-06-03--11h-17m-10s,0.0,1.0,27.0,12.0,40.0
2025-06-03--11h-17m-10s,4.0,0.0,26.0,10.0,40.0
2025-06-03--11h-17m-10s,0.0,0.0,30.0,10.0,40.0
2025-06-03--11h-17m-10s,0.0,0.0,31.0,9.0,40.0
2025-06-03--11h-17m-10s,1.0,0.0,33.0,6.0,40.0
2025-06-03--11h-17m-10s,5.0,1.0,23.0,11.0,40.0
2025-06-03--11h-17m-10s,0.0,0.0,26.0,14.0,40.0
2025-06-03--11h-17m-10s,3.0,0.0,27.0,10.0,40.0
2025-06-03--11h-17m-10s,0.0,1.0,29.0,10.0,40.0
2025-06-03--11h-17m-10s,1.0,2.0,24.0,13.0,40.0
2025-06-03--11h-17m-10s,1.0,1.0,27.0,11.0,40.0
2025-06-03--11h-17m-10s,0.0,1.0,26.0,13.0,40.0
2025-06-03--11h-17m-10s,3.0,0.0,26.0,11.0,40.0
2025-06-03--11h-17m-10s,3.0,1.0,23.0,13.0,40.0
2025-06-03--11h-17m-10s,1.0,0.0,25.0,14.0,40.0
2025-06-03--11h-17m-10s,3.0,1.0,28.0,8.0,40.0
2025-06-03--11h-17m-10s,1.0,1.0,28.0,10.0,40.0
2025-06-03--11h-17m-10s,0.0,2.0,26.0,12.0,40.0
2025-06-03--11h-17m-10s,0.0,1.0,29.0,10.0,40.0
2025-06-03--11h-17m-10s,4.0,0.0,25.0,11.0,40.0
2025-06-03--11h-17m-10s,4.0,1.0,25.0,10.0,40.0
2025-06-03--11h-17m-10s,5.0,2.0,28.0,5.0,40.0
2025-06-03--11h-17m-10s,2.0,0.0,30.0,8.0,40.0
2025-06-03--11h-17m-10s,1.0,0.0,28.0,11.0,40.0
2025-06-03--11h-17m-10s,2.0,0.0,27.0,11.0,40.0
2025-06-03--11h-17m-10s,0.0,2.0,29.0,9.0,40.0
2025-06-03--11h-17m-10s,1.0,1.0,32.0,6.0,40.0
2025-06-03--11h-17m-10s,5.0,1.0,26.0,8.0,40.0
2025-06-03--11h-17m-10s,4.0,0.0,29.0,7.0,40.0
2025-06-03--11h-17m-10s,3.0,1.0,24.0,12.0,40.0
2025-06-03--11h-17m-10s,1.0,1.0,30.0,8.0,40.0
2025-06-03--11h-17m-10s,0.0,0.0,30.0,10.0,40.0
2025-06-03--11h-17m-10s,1.0,0.0,26.0,13.0,40.0
2025-06-03--11h-17m-10s,3.0,0.0,30.0,7.0,40.0
2025-06-03--11h-17m-10s,0.0,2.0,31.0,7.0,40.0
2025-06-03--11h-17m-10s,1.0,1.0,31.0,7.0,40.0
2025-06-03--11h-17m-10s,0.0,0.0,31.0,9.0,40.0
2025-06-03--11h-17m-10s,0.0,0.0,30.0,10.0,40.0
2025-06-03--11h-17m-10s,2.0,0.0,27.0,11.0,40.0
2025-06-03--11h-17m-10s,1.0,2.0,25.0,12.0,40.0
2025-06-03--11h-17m-10s,1.0,0.0,30.0,9.0,40.0
2025-06-03--11h-17m-10s,0.0,5.0,30.0,5.0,40.0
2025-06-03--11h-17m-10s,1.0,2.0,29.0,8.0,40.0
2025-06-03--11h-17m-10s,0.0,0.0,24.0,16.0,40.0
2025-06-03--11h-17m-10s,0.0,1.0,30.0,9.0,40.0
2025-06-03--11h-17m-10s,0.0,0.0,31.0,9.0,40.0
2025-06-03--11h-17m-10s,3.0,0.0,27.0,10.0,40.0
2025-06-03--11h-17m-10s,2.0,1.0,29.0,8.0,40.0
2025-06-03--11h-17m-10s,2.0,2.0,28.0,8.0,40.0
2025-06-03--11h-17m-10s,1.0,1.0,28.0,10.0,40.0
2025-06-03--11h-17m-10s,2.0,0.0,30.0,8.0,40.0
2025-06-03--11h-17m-10s,0.0,1.0,30.0,9.0,40.0
2025-06-03--11h-17m-10s,2.0,3.0,23.0,12.0,40.0
2025-06-03--11h-17m-10s,2.0,0.0,29.0,9.0,40.0
2025-06-03--11h-17m-10s,2.0,0.0,26.0,12.0,40.0
2025-06-03--11h-17m-10s,1.0,1.0,26.0,12.0,40.0
2025-06-03--11h-17m-10s,2.0,2.0,28.0,8.0,40.0
2025-06-03--11h-17m-10s,0.0,2.0,31.0,7.0,40.0
2025-06-03--11h-17m-10s,2.0,3.0,24.0,11.0,40.0
2025-06-03--11h-17m-10s,2.0,2.0,27.0,9.0,40.0
2025-06-03--11h-17m-10s,2.0,1.0,31.0,6.0,40.0
2025-06-03--11h-17m-10s,2.0,1.0,26.0,11.0,40.0
2025-06-03--11h-17m-10s,1.0,1.0,22.0,16.0,40.0
2025-06-03--11h-17m-10s,3.0,3.0,18.0,16.0,40.0
2025-06-03--11h-17m-10s,0.0,0.0,29.0,11.0,40.0
2025-06-03--11h-17m-10s,0.0,0.0,30.0,10.0,40.0
2025-06-03--11h-17m-10s,3.0,1.0,26.0,10.0,40.0
2025-06-03--11h-17m-10s,1.0,1.0,30.0,8.0,40.0
2025-06-03--11h-17m-10s,1.0,0.0,26.0,13.0,40.0
2025-06-03--11h-17m-10s,3.0,1.0,29.0,7.0,40.0
2025-06-03--11h-17m-10s,0.0,1.0,29.0,10.0,40.0
2025-06-03--11h-17m-10s,0.0,4.0,26.0,10.0,40.0
2025-06-03--11h-17m-10s,2.0,0.0,29.0,9.0,40.0
2025-06-03--11h-17m-10s,2.0,5.0,26.0,7.0,40.0
2025-06-03--11h-17m-10s,2.0,2.0,26.0,10.0,40.0
2025-06-03--11h-17m-10s,2.0,0.0,30.0,8.0,40.0
2025-06-03--11h-17m-10s,3.0,0.0,25.0,12.0,40.0
2025-06-03--11h-17m-10s,4.0,2.0,27.0,7.0,40.0
2025-06-03--11h-17m-10s,1.0,1.0,31.0,7.0,40.0
2025-06-03--11h-17m-10s,3.0,0.0,18.0,19.0,40.0
2025-06-03--11h-17m-10s,0.0,0.0,29.0,11.0,40.0
2025-06-03--11h-17m-10s,2.0,1.0,25.0,12.0,40.0
2025-06-03--11h-17m-10s,1.0,0.0,25.0,14.0,40.0
2025-06-03--11h-17m-10s,0.0,2.0,25.0,13.0,40.0
2025-06-03--11h-17m-10s,1.0,0.0,33.0,6.0,40.0
2025-06-03--11h-17m-10s,2.0,1.0,22.0,15.0,40.0
2025-06-03--11h-17m-10s,2.0,1.0,28.0,9.0,40.0
2025-06-03--11h-17m-10s,0.0,1.0,29.0,10.0,40.0
2025-06-03--11h-17m-10s,4.0,0.0,26.0,10.0,40.0
2025-06-03--11h-17m-10s,5.0,0.0,26.0,9.0,40.0
2025-06-03--11h-17m-10s,1.0,0.0,28.0,11.0,40.0
2025-06-03--11h-17m-10s,3.0,0.0,29.0,8.0,40.0
2025-06-03--11h-17m-10s,2.0,1.0,27.0,10.0,40.0
2025-06-03--11h-17m-10s,0.0,0.0,29.0,11.0,40.0
2025-06-03--11h-17m-10s,2.0,1.0,25.0,12.0,40.0
2025-06-03--11h-17m-10s,1.0,0.0,29.0,10.0,40.0
2025-06-03--11h-17m-10s,0.0,2.0,31.0,7.0,40.0
2025-06-03--11h-17m-10s,3.0,1.0,26.0,10.0,40.0
2025-06-03--11h-17m-10s,0.0,2.0,27.0,11.0,40.0
2025-06-03--11h-17m-10s,3.0,4.0,25.0,8.0,40.0
2025-06-03--11h-17m-10s,4.0,0.0,27.0,9.0,40.0
2025-06-03--11h-17m-10s,1.0,3.0,27.0,9.0,40.0
2025-06-03--11h-17m-10s,0.0,1.0,31.0,8.0,40.0
2025-06-03--11h-17m-10s,0.0,2.0,31.0,7.0,40.0
2025-06-03--11h-17m-10s,1.0,1.0,26.0,12.0,40.0
2025-06-03--11h-17m-10s,4.0,1.0,24.0,11.0,40.0
2025-06-03--11h-17m-10s,1.0,0.0,27.0,12.0,40.0
2025-06-03--11h-17m-10s,3.0,0.0,28.0,9.0,40.0
2025-06-03--11h-17m-10s,1.0,1.0,28.0,10.0,40.0
2025-06-03--11h-17m-10s,2.0,3.0,26.0,9.0,40.0
2025-06-03--11h-17m-10s,2.0,0.0,29.0,9.0,40.0
2025-06-03--11h-17m-10s,2.0,2.0,25.0,11.0,40.0
2025-06-03--11h-17m-10s,2.0,0.0,22.0,16.0,40.0
2025-06-03--11h-17m-10s,3.0,0.0,21.0,16.0,40.0
2025-06-03--11h-17m-10s,2.0,1.0,30.0,7.0,40.0
2025-06-03--11h-17m-10s,1.0,0.0,26.0,13.0,40.0
2025-06-03--11h-17m-10s,2.0,1.0,31.0,6.0,40.0
2025-06-03--11h-17m-10s,1.0,0.0,29.0,10.0,40.0
2025-06-03--11h-17m-10s,1.0,2.0,26.0,11.0,40.0
2025-06-03--11h-17m-10s,0.0,0.0,30.0,10.0,40.0
2025-06-03--11h-17m-10s,0.0,0.0,26.0,14.0,40.0
2025-06-03--11h-17m-10s,0.0,2.0,28.0,10.0,40.0
2025-06-03--11h-17m-10s,0.0,0.0,27.0,13.0,40.0
2025-06-03--11h-17m-10s,2.0,1.0,30.0,7.0,40.0
2025-06-03--11h-17m-10s,3.0,0.0,29.0,8.0,40.0
2025-06-03--11h-17m-10s,1.0,1.0,30.0,8.0,40.0
2025-06-03--11h-17m-10s,2.0,1.0,23.0,14.0,40.0
2025-06-03--11h-17m-10s,1.0,1.0,29.0,9.0,40.0
2025-06-03--11h-17m-10s,3.0,2.0,21.0,14.0,40.0
2025-06-03--11h-17m-10s,3.0,2.0,23.0,12.0,40.0
2025-06-03--11h-17m-10s,2.0,0.0,27.0,11.0,40.0
2025-06-03--11h-17m-10s,0.0,3.0,28.0,9.0,40.0
2025-06-03--11h-17m-10s,1.0,0.0,26.0,13.0,40.0
2025-06-03--11h-17m-10s,1.0,1.0,27.0,11.0,40.0
2025-06-03--11h-17m-10s,0.0,0.0,29.0,11.0,40.0
2025-06-03--11h-17m-10s,0.0,0.0,32.0,8.0,40.0
2025-06-03--11h-17m-10s,0.0,0.0,30.0,10.0,40.0
2025-06-03--11h-17m-10s,3.0,1.0,26.0,10.0,40.0
2025-06-03--11h-17m-10s,0.0,0.0,28.0,12.0,40.0
2025-06-03--11h-17m-10s,0.0,1.0,30.0,9.0,40.0
2025-06-03--11h-17m-10s,3.0,1.0,27.0,9.0,40.0
2025-06-03--11h-17m-10s,2.0,2.0,30.0,6.0,40.0
2025-06-03--11h-17m-10s,0.0,2.0,32.0,6.0,40.0
2025-06-03--11h-17m-10s,2.0,2.0,25.0,11.0,40.0
2025-06-03--11h-17m-10s,0.0,0.0,30.0,10.0,40.0
2025-06-03--11h-17m-10s,1.0,1.0,29.0,9.0,40.0
2025-06-03--11h-17m-10s,2.0,4.0,21.0,13.0,40.0
2025-06-03--11h-17m-10s,2.0,0.0,28.0,10.0,40.0
2025-06-03--11h-17m-10s,1.0,0.0,27.0,12.0,40.0
2025-06-03--11h-17m-10s,0.0,4.0,20.0,16.0,40.0
2025-06-03--11h-17m-10s,0.0,4.0,26.0,10.0,40.0
2025-06-03--11h-17m-10s,0.0,0.0,27.0,13.0,40.0
2025-06-03--11h-17m-10s,3.0,1.0,25.0,11.0,40.0
2025-06-03--11h-17m-10s,1.0,1.0,26.0,12.0,40.0
2025-06-03--11h-17m-10s,1.0,1.0,28.0,10.0,40.0
2025-06-03--11h-17m-10s,0.0,1.0,24.0,15.0,40.0
2025-06-03--11h-17m-10s,1.0,2.0,29.0,8.0,40.0
2025-06-03--11h-17m-10s,0.0,0.0,30.0,10.0,40.0
2025-06-03--11h-17m-10s,1.0,2.0,30.0,7.0,40.0
2025-06-03--11h-17m-10s,2.0,4.0,23.0,11.0,40.0
2025-06-03--11h-17m-10s,0.0,2.0,28.0,10.0,40.0
2025-06-03--11h-17m-10s,0.0,2.0,26.0,12.0,40.0
2025-06-03--11h-17m-10s,0.0,0.0,33.0,7.0,40.0
2025-06-03--11h-17m-10s,1.0,0.0,30.0,9.0,40.0
2025-06-03--11h-17m-10s,0.0,0.0,27.0,13.0,40.0
2025-06-03--11h-17m-10s,2.0,0.0,28.0,10.0,40.0
2025-06-03--11h-17m-10s,0.0,2.0,31.0,7.0,40.0
2025-06-03--11h-17m-10s,1.0,3.0,25.0,11.0,40.0
2025-06-03--11h-17m-10s,1.0,0.0,29.0,10.0,40.0
2025-06-03--11h-17m-10s,1.0,1.0,22.0,16.0,40.0
2025-06-03--11h-17m-10s,1.0,2.0,24.0,13.0,40.0
2025-06-03--11h-17m-10s,0.0,0.0,24.0,16.0,40.0
2025-06-03--11h-17m-10s,1.0,0.0,29.0,10.0,40.0
2025-06-03--11h-17m-10s,1.0,1.0,24.0,14.0,40.0
2025-06-03--11h-17m-10s,2.0,0.0,28.0,10.0,40.0
2025-06-03--11h-17m-10s,2.0,0.0,25.0,13.0,40.0
2025-06-03--11h-17m-10s,2.0,1.0,24.0,13.0,40.0
2025-06-03--11h-17m-10s,0.0,0.0,30.0,10.0,40.0
2025-06-03--11h-17m-10s,0.0,0.0,32.0,8.0,40.0
2025-06-03--11h-17m-10s,0.0,0.0,30.0,10.0,40.0
2025-06-03--11h-17m-10s,0.0,1.0,29.0,10.0,40.0
2025-06-03--11h-17m-10s,3.0,1.0,28.0,8.0,40.0
2025-06-03--11h-17m-10s,2.0,3.0,29.0,6.0,40.0
2025-06-03--11h-17m-10s,0.0,1.0,31.0,8.0,40.0
2025-06-03--11h-17m-10s,3.0,0.0,30.0,7.0,40.0
2025-06-03--11h-17m-10s,1.0,0.0,29.0,10.0,40.0
2025-06-03--11h-17m-10s,2.0,0.0,29.0,9.0,40.0
2025-06-03--11h-17m-10s,0.0,1.0,28.0,11.0,40.0
2025-06-03--11h-17m-10s,4.0,1.0,22.0,13.0,40.0
2025-06-03--11h-17m-10s,1.0,2.0,30.0,7.0,40.0
2025-06-03--11h-17m-10s,3.0,1.0,27.0,9.0,40.0
2025-06-03--11h-17m-10s,1.0,1.0,29.0,9.0,40.0
2025-06-03--11h-17m-10s,2.0,0.0,30.0,8.0,40.0
2025-06-03--11h-17m-10s,0.0,1.0,31.0,8.0,40.0
2025-06-03--11h-17m-10s,1.0,1.0,30.0,8.0,40.0
2025-06-03--11h-17m-10s,2.0,0.0,29.0,9.0,40.0
2025-06-03--11h-17m-10s,1.0,1.0,28.0,10.0,40.0
2025-06-03--11h-17m-10s,1.0,1.0,29.0,9.0,40.0
2025-06-03--11h-17m-10s,1.0,0.0,27.0,12.0,40.0
2025-06-03--11h-17m-10s,1.0,3.0,24.0,12.0,40.0
2025-06-03--11h-17m-10s,1.0,0.0,30.0,9.0,40.0
2025-06-03--11h-17m-10s,1.0,2.0,28.0,9.0,40.0
2025-06-03--11h-17m-10s,0.0,0.0,29.0,11.0,40.0
2025-06-03--11h-17m-10s,1.0,1.0,31.0,7.0,40.0
2025-06-03--11h-17m-10s,2.0,2.0,24.0,12.0,40.0
2025-06-03--11h-17m-10s,3.0,2.0,28.0,7.0,40.0
2025-06-03--11h-17m-10s,2.0,0.0,25.0,13.0,40.0
2025-06-03--11h-17m-10s,2.0,1.0,25.0,12.0,40.0
2025-06-03--11h-17m-10s,2.0,2.0,27.0,9.0,40.0
2025-06-03--11h-17m-10s,2.0,1.0,28.0,9.0,40.0
2025-06-03--11h-17m-10s,0.0,1.0,27.0,12.0,40.0
2025-06-03--11h-17m-10s,0.0,0.0,30.0,10.0,40.0
2025-06-03--11h-17m-10s,1.0,1.0,30.0,8.0,40.0
2025-06-03--11h-17m-10s,3.0,0.0,21.0,16.0,40.0
2025-06-03--11h-17m-10s,1.0,3.0,24.0,12.0,40.0
2025-06-03--11h-17m-10s,1.0,1.0,31.0,7.0,40.0
2025-06-03--11h-17m-10s,2.0,2.0,31.0,5.0,40.0
2025-06-03--11h-17m-10s,3.0,1.0,24.0,12.0,40.0
2025-06-03--11h-17m-10s,0.0,0.0,24.0,16.0,40.0
2025-06-03--11h-17m-10s,4.0,0.0,26.0,10.0,40.0
2025-06-03--11h-17m-10s,2.0,2.0,25.0,11.0,40.0
2025-06-03--11h-17m-10s,3.0,2.0,27.0,8.0,40.0
2025-06-03--11h-17m-10s,1.0,2.0,22.0,15.0,40.0
2025-06-03--11h-17m-10s,3.0,2.0,24.0,11.0,40.0
2025-06-03--11h-17m-10s,2.0,1.0,26.0,11.0,40.0
2025-06-03--11h-17m-10s,0.0,3.0,26.0,11.0,40.0
2025-06-03--11h-17m-10s,0.0,0.0,29.0,11.0,40.0
2025-06-03--11h-17m-10s,2.0,0.0,26.0,12.0,40.0
2025-06-03--11h-17m-10s,1.0,1.0,30.0,8.0,40.0
2025-06-03--11h-17m-10s,0.0,0.0,27.0,13.0,40.0
2025-06-03--11h-17m-10s,2.0,3.0,28.0,7.0,40.0
2025-06-03--11h-17m-10s,3.0,0.0,29.0,8.0,40.0
2025-06-03--11h-17m-10s,0.0,0.0,26.0,14.0,40.0
2025-06-03--11h-17m-10s,1.0,0.0,29.0,10.0,40.0
2025-06-03--11h-17m-10s,2.0,0.0,27.0,11.0,40.0
2025-06-03--11h-17m-10s,2.0,3.0,27.0,8.0,40.0
2025-06-03--11h-17m-10s,2.0,1.0,29.0,8.0,40.0
2025-06-03--11h-17m-10s,3.0,3.0,20.0,14.0,40.0
2025-06-03--11h-17m-10s,1.0,1.0,32.0,6.0,40.0
2025-06-03--11h-17m-10s,0.0,2.0,32.0,6.0,40.0
2025-06-03--11h-17m-10s,0.0,1.0,30.0,9.0,40.0
2025-06-03--11h-17m-10s,1.0,1.0,31.0,7.0,40.0
2025-06-03--11h-17m-10s,2.0,0.0,28.0,10.0,40.0
2025-06-03--11h-17m-10s,3.0,0.0,29.0,8.0,40.0
2025-06-03--11h-17m-10s,3.0,1.0,25.0,11.0,40.0
2025-06-03--11h-17m-10s,2.0,2.0,27.0,9.0,40.0
2025-06-03--11h-17m-10s,1.0,0.0,28.0,11.0,40.0
2025-06-03--11h-17m-10s,1.0,2.0,22.0,15.0,40.0
2025-06-03--11h-17m-10s,1.0,1.0,32.0,6.0,40.0
2025-06-03--11h-17m-10s,2.0,1.0,27.0,10.0,40.0
2025-06-03--11h-17m-10s,2.0,0.0,28.0,10.0,40.0
2025-06-03--11h-17m-10s,2.0,1.0,25.0,12.0,40.0
