data_dir,C,DB_H,DB_V,SB,N
2025-06-19--18h-42m-38s,17.0,10.0,8.0,5.0,40.0
2025-06-19--18h-42m-38s,16.0,12.0,8.0,4.0,40.0
2025-06-19--18h-42m-38s,21.0,5.0,12.0,2.0,40.0
2025-06-19--18h-42m-38s,15.0,13.0,10.0,2.0,40.0
2025-06-19--18h-42m-38s,13.0,11.0,11.0,5.0,40.0
2025-06-19--18h-42m-38s,17.0,14.0,7.0,2.0,40.0
2025-06-19--18h-42m-38s,10.0,12.0,12.0,6.0,40.0
2025-06-19--18h-42m-38s,18.0,8.0,11.0,3.0,40.0
2025-06-19--18h-42m-38s,16.0,9.0,11.0,4.0,40.0
2025-06-19--18h-42m-38s,13.0,16.0,10.0,1.0,40.0
2025-06-19--18h-42m-38s,16.0,6.0,11.0,7.0,40.0
2025-06-19--18h-42m-38s,18.0,8.0,10.0,4.0,40.0
2025-06-19--18h-42m-38s,21.0,11.0,7.0,1.0,40.0
2025-06-19--18h-42m-38s,19.0,10.0,5.0,6.0,40.0
2025-06-19--18h-42m-38s,17.0,12.0,8.0,3.0,40.0
2025-06-19--18h-42m-38s,17.0,16.0,7.0,0.0,40.0
2025-06-19--18h-42m-38s,15.0,11.0,11.0,3.0,40.0
2025-06-19--18h-42m-38s,12.0,11.0,10.0,7.0,40.0
2025-06-19--18h-42m-38s,12.0,18.0,9.0,1.0,40.0
2025-06-19--18h-42m-38s,16.0,10.0,9.0,5.0,40.0
2025-06-19--18h-42m-38s,14.0,11.0,12.0,3.0,40.0
2025-06-19--18h-42m-38s,15.0,14.0,10.0,1.0,40.0
2025-06-19--18h-42m-38s,15.0,10.0,10.0,5.0,40.0
2025-06-19--18h-42m-38s,13.0,10.0,13.0,4.0,40.0
2025-06-19--18h-42m-38s,16.0,10.0,12.0,2.0,40.0
2025-06-19--18h-42m-38s,9.0,19.0,9.0,3.0,40.0
2025-06-19--18h-42m-38s,14.0,11.0,10.0,5.0,40.0
2025-06-19--18h-42m-38s,26.0,5.0,8.0,1.0,40.0
2025-06-19--18h-42m-38s,21.0,8.0,7.0,4.0,40.0
2025-06-19--18h-42m-38s,21.0,13.0,3.0,3.0,40.0
2025-06-19--18h-42m-38s,17.0,10.0,8.0,5.0,40.0
2025-06-19--18h-42m-38s,14.0,13.0,8.0,5.0,40.0
2025-06-19--18h-42m-38s,18.0,9.0,3.0,10.0,40.0
2025-06-19--18h-42m-38s,21.0,7.0,7.0,5.0,40.0
2025-06-19--18h-42m-38s,17.0,10.0,8.0,5.0,40.0
2025-06-19--18h-42m-38s,12.0,13.0,14.0,1.0,40.0
2025-06-19--18h-42m-38s,12.0,12.0,11.0,5.0,40.0
2025-06-19--18h-42m-38s,14.0,12.0,14.0,0.0,40.0
2025-06-19--18h-42m-38s,14.0,13.0,8.0,5.0,40.0
2025-06-19--18h-42m-38s,16.0,12.0,10.0,2.0,40.0
2025-06-19--18h-42m-38s,19.0,12.0,4.0,5.0,40.0
2025-06-19--18h-42m-38s,15.0,9.0,16.0,0.0,40.0
2025-06-19--18h-42m-38s,15.0,15.0,7.0,3.0,40.0
2025-06-19--18h-42m-38s,17.0,12.0,7.0,4.0,40.0
2025-06-19--18h-42m-38s,12.0,12.0,11.0,5.0,40.0
2025-06-19--18h-42m-38s,10.0,11.0,14.0,5.0,40.0
2025-06-19--18h-42m-38s,19.0,11.0,5.0,5.0,40.0
2025-06-19--18h-42m-38s,19.0,7.0,11.0,3.0,40.0
2025-06-19--18h-42m-38s,16.0,9.0,11.0,4.0,40.0
2025-06-19--18h-42m-38s,11.0,8.0,12.0,9.0,40.0
2025-06-19--18h-42m-38s,13.0,15.0,5.0,7.0,40.0
2025-06-19--18h-42m-38s,17.0,11.0,9.0,3.0,40.0
2025-06-19--18h-42m-38s,16.0,11.0,7.0,6.0,40.0
2025-06-19--18h-42m-38s,19.0,7.0,8.0,6.0,40.0
2025-06-19--18h-42m-38s,11.0,13.0,13.0,3.0,40.0
2025-06-19--18h-42m-38s,11.0,14.0,11.0,4.0,40.0
2025-06-19--18h-42m-38s,15.0,13.0,9.0,3.0,40.0
2025-06-19--18h-42m-38s,17.0,11.0,10.0,2.0,40.0
2025-06-19--18h-42m-38s,14.0,17.0,6.0,3.0,40.0
2025-06-19--18h-42m-38s,19.0,7.0,12.0,2.0,40.0
2025-06-19--18h-42m-38s,19.0,9.0,10.0,2.0,40.0
2025-06-19--18h-42m-38s,12.0,15.0,7.0,6.0,40.0
2025-06-19--18h-42m-38s,19.0,8.0,11.0,2.0,40.0
2025-06-19--18h-42m-38s,13.0,11.0,12.0,4.0,40.0
2025-06-19--18h-42m-38s,13.0,12.0,12.0,3.0,40.0
2025-06-19--18h-42m-38s,17.0,11.0,8.0,4.0,40.0
2025-06-19--18h-42m-38s,14.0,13.0,8.0,5.0,40.0
2025-06-19--18h-42m-38s,17.0,9.0,13.0,1.0,40.0
2025-06-19--18h-42m-38s,13.0,9.0,10.0,8.0,40.0
2025-06-19--18h-42m-38s,17.0,14.0,5.0,4.0,40.0
2025-06-19--18h-42m-38s,17.0,9.0,9.0,5.0,40.0
2025-06-19--18h-42m-38s,18.0,6.0,13.0,3.0,40.0
2025-06-19--18h-42m-38s,18.0,9.0,7.0,6.0,40.0
2025-06-19--18h-42m-38s,12.0,8.0,14.0,6.0,40.0
2025-06-19--18h-42m-38s,17.0,10.0,7.0,6.0,40.0
2025-06-19--18h-42m-38s,15.0,7.0,13.0,5.0,40.0
2025-06-19--18h-42m-38s,18.0,14.0,4.0,4.0,40.0
2025-06-19--18h-42m-38s,13.0,12.0,10.0,5.0,40.0
2025-06-19--18h-42m-38s,17.0,11.0,5.0,7.0,40.0
2025-06-19--18h-42m-38s,16.0,16.0,4.0,4.0,40.0
2025-06-19--18h-42m-38s,13.0,12.0,10.0,5.0,40.0
2025-06-19--18h-42m-38s,20.0,10.0,6.0,4.0,40.0
2025-06-19--18h-42m-38s,20.0,8.0,9.0,3.0,40.0
2025-06-19--18h-42m-38s,13.0,12.0,11.0,4.0,40.0
2025-06-19--18h-42m-38s,15.0,14.0,9.0,2.0,40.0
2025-06-19--18h-42m-38s,17.0,7.0,11.0,5.0,40.0
2025-06-19--18h-42m-38s,11.0,18.0,7.0,4.0,40.0
2025-06-19--18h-42m-38s,18.0,13.0,5.0,4.0,40.0
2025-06-19--18h-42m-38s,14.0,8.0,11.0,7.0,40.0
2025-06-19--18h-42m-38s,16.0,8.0,8.0,8.0,40.0
2025-06-19--18h-42m-38s,20.0,10.0,5.0,5.0,40.0
2025-06-19--18h-42m-38s,13.0,13.0,11.0,3.0,40.0
2025-06-19--18h-42m-38s,12.0,13.0,12.0,3.0,40.0
2025-06-19--18h-42m-38s,11.0,9.0,16.0,4.0,40.0
2025-06-19--18h-42m-38s,25.0,5.0,8.0,2.0,40.0
2025-06-19--18h-42m-38s,23.0,7.0,8.0,2.0,40.0
2025-06-19--18h-42m-38s,22.0,8.0,7.0,3.0,40.0
2025-06-19--18h-42m-38s,18.0,12.0,6.0,4.0,40.0
2025-06-19--18h-42m-38s,16.0,8.0,11.0,5.0,40.0
2025-06-19--18h-42m-38s,18.0,10.0,8.0,4.0,40.0
2025-06-19--18h-42m-38s,14.0,11.0,8.0,7.0,40.0
2025-06-19--18h-42m-38s,19.0,8.0,10.0,3.0,40.0
2025-06-19--18h-42m-38s,16.0,9.0,11.0,4.0,40.0
2025-06-19--18h-42m-38s,13.0,12.0,10.0,5.0,40.0
2025-06-19--18h-42m-38s,18.0,12.0,7.0,3.0,40.0
2025-06-19--18h-42m-38s,15.0,14.0,11.0,0.0,40.0
2025-06-19--18h-42m-38s,15.0,3.0,17.0,5.0,40.0
2025-06-19--18h-42m-38s,16.0,6.0,13.0,5.0,40.0
2025-06-19--18h-42m-38s,12.0,14.0,12.0,2.0,40.0
2025-06-19--18h-42m-38s,15.0,9.0,9.0,7.0,40.0
2025-06-19--18h-42m-38s,19.0,8.0,6.0,7.0,40.0
2025-06-19--18h-42m-38s,18.0,9.0,10.0,3.0,40.0
2025-06-19--18h-42m-38s,13.0,11.0,11.0,5.0,40.0
2025-06-19--18h-42m-38s,18.0,8.0,12.0,2.0,40.0
2025-06-19--18h-42m-38s,18.0,11.0,7.0,4.0,40.0
2025-06-19--18h-42m-38s,21.0,12.0,4.0,3.0,40.0
2025-06-19--18h-42m-38s,15.0,9.0,15.0,1.0,40.0
2025-06-19--18h-42m-38s,11.0,15.0,9.0,5.0,40.0
2025-06-19--18h-42m-38s,15.0,11.0,11.0,3.0,40.0
2025-06-19--18h-42m-38s,22.0,6.0,8.0,4.0,40.0
2025-06-19--18h-42m-38s,10.0,19.0,9.0,2.0,40.0
2025-06-19--18h-42m-38s,9.0,14.0,12.0,5.0,40.0
2025-06-19--18h-42m-38s,13.0,13.0,9.0,5.0,40.0
2025-06-19--18h-42m-38s,18.0,10.0,8.0,4.0,40.0
2025-06-19--18h-42m-38s,16.0,12.0,9.0,3.0,40.0
2025-06-19--18h-42m-38s,17.0,11.0,7.0,5.0,40.0
2025-06-19--18h-42m-38s,17.0,7.0,12.0,4.0,40.0
2025-06-19--18h-42m-38s,16.0,6.0,11.0,7.0,40.0
2025-06-19--18h-42m-38s,15.0,7.0,14.0,4.0,40.0
2025-06-19--18h-42m-38s,16.0,9.0,11.0,4.0,40.0
2025-06-19--18h-42m-38s,16.0,13.0,6.0,5.0,40.0
2025-06-19--18h-42m-38s,20.0,8.0,6.0,6.0,40.0
2025-06-19--18h-42m-38s,17.0,14.0,8.0,1.0,40.0
2025-06-19--18h-42m-38s,17.0,9.0,11.0,3.0,40.0
2025-06-19--18h-42m-38s,22.0,8.0,8.0,2.0,40.0
2025-06-19--18h-42m-38s,15.0,11.0,7.0,7.0,40.0
2025-06-19--18h-42m-38s,15.0,11.0,10.0,4.0,40.0
2025-06-19--18h-42m-38s,13.0,14.0,11.0,2.0,40.0
2025-06-19--18h-42m-38s,13.0,9.0,15.0,3.0,40.0
2025-06-19--18h-42m-38s,24.0,7.0,7.0,2.0,40.0
2025-06-19--18h-42m-38s,18.0,15.0,4.0,3.0,40.0
2025-06-19--18h-42m-38s,18.0,8.0,11.0,3.0,40.0
2025-06-19--18h-42m-38s,18.0,6.0,11.0,5.0,40.0
2025-06-19--18h-42m-38s,17.0,14.0,8.0,1.0,40.0
2025-06-19--18h-42m-38s,16.0,9.0,12.0,3.0,40.0
2025-06-19--18h-42m-38s,13.0,12.0,11.0,4.0,40.0
2025-06-19--18h-42m-38s,20.0,12.0,6.0,2.0,40.0
2025-06-19--18h-42m-38s,7.0,16.0,15.0,2.0,40.0
2025-06-19--18h-42m-38s,18.0,12.0,9.0,1.0,40.0
2025-06-19--18h-42m-38s,22.0,9.0,5.0,4.0,40.0
2025-06-19--18h-42m-38s,19.0,11.0,9.0,1.0,40.0
2025-06-19--18h-42m-38s,15.0,12.0,9.0,4.0,40.0
2025-06-19--18h-42m-38s,22.0,7.0,7.0,4.0,40.0
2025-06-19--18h-42m-38s,15.0,11.0,7.0,7.0,40.0
2025-06-19--18h-42m-38s,15.0,13.0,10.0,2.0,40.0
2025-06-19--18h-42m-38s,19.0,7.0,11.0,3.0,40.0
2025-06-19--18h-42m-38s,15.0,12.0,10.0,3.0,40.0
2025-06-19--18h-42m-38s,13.0,13.0,11.0,3.0,40.0
2025-06-19--18h-42m-38s,20.0,9.0,11.0,0.0,40.0
2025-06-19--18h-42m-38s,16.0,13.0,8.0,3.0,40.0
2025-06-19--18h-42m-38s,15.0,14.0,9.0,2.0,40.0
2025-06-19--18h-42m-38s,15.0,6.0,14.0,5.0,40.0
2025-06-19--18h-42m-38s,17.0,12.0,8.0,3.0,40.0
2025-06-19--18h-42m-38s,16.0,8.0,10.0,6.0,40.0
2025-06-19--18h-42m-38s,14.0,10.0,11.0,5.0,40.0
2025-06-19--18h-42m-38s,21.0,11.0,3.0,5.0,40.0
2025-06-19--18h-42m-38s,18.0,10.0,8.0,4.0,40.0
2025-06-19--18h-42m-38s,15.0,9.0,13.0,3.0,40.0
2025-06-19--18h-42m-38s,17.0,8.0,11.0,4.0,40.0
2025-06-19--18h-42m-38s,18.0,8.0,12.0,2.0,40.0
2025-06-19--18h-42m-38s,16.0,14.0,7.0,3.0,40.0
2025-06-19--18h-42m-38s,21.0,4.0,12.0,3.0,40.0
2025-06-19--18h-42m-38s,17.0,15.0,5.0,3.0,40.0
2025-06-19--18h-42m-38s,16.0,9.0,9.0,6.0,40.0
2025-06-19--18h-42m-38s,16.0,14.0,9.0,1.0,40.0
2025-06-19--18h-42m-38s,22.0,10.0,8.0,0.0,40.0
2025-06-19--18h-42m-38s,15.0,11.0,13.0,1.0,40.0
2025-06-19--18h-42m-38s,17.0,11.0,9.0,3.0,40.0
2025-06-19--18h-42m-38s,19.0,10.0,10.0,1.0,40.0
2025-06-19--18h-42m-38s,19.0,8.0,11.0,2.0,40.0
2025-06-19--18h-42m-38s,19.0,8.0,7.0,6.0,40.0
2025-06-19--18h-42m-38s,14.0,13.0,8.0,5.0,40.0
2025-06-19--18h-42m-38s,16.0,10.0,12.0,2.0,40.0
2025-06-19--18h-42m-38s,19.0,7.0,10.0,4.0,40.0
2025-06-19--18h-42m-38s,14.0,12.0,7.0,7.0,40.0
2025-06-19--18h-42m-38s,18.0,10.0,6.0,6.0,40.0
2025-06-19--18h-42m-38s,17.0,8.0,11.0,4.0,40.0
2025-06-19--18h-42m-38s,17.0,8.0,11.0,4.0,40.0
2025-06-19--18h-42m-38s,14.0,11.0,11.0,4.0,40.0
2025-06-19--18h-42m-38s,21.0,10.0,6.0,3.0,40.0
2025-06-19--18h-42m-38s,19.0,10.0,7.0,4.0,40.0
2025-06-19--18h-42m-38s,18.0,8.0,14.0,0.0,40.0
2025-06-19--18h-42m-38s,15.0,14.0,7.0,4.0,40.0
2025-06-19--18h-42m-38s,18.0,10.0,8.0,4.0,40.0
2025-06-19--18h-42m-38s,19.0,9.0,8.0,4.0,40.0
2025-06-19--18h-42m-38s,18.0,7.0,10.0,5.0,40.0
2025-06-19--18h-42m-38s,17.0,10.0,10.0,3.0,40.0
2025-06-19--18h-42m-38s,13.0,11.0,13.0,3.0,40.0
2025-06-19--18h-42m-38s,11.0,8.0,17.0,4.0,40.0
2025-06-19--18h-42m-38s,20.0,6.0,10.0,4.0,40.0
2025-06-19--18h-42m-38s,19.0,8.0,13.0,0.0,40.0
2025-06-19--18h-42m-38s,17.0,13.0,9.0,1.0,40.0
2025-06-19--18h-42m-38s,19.0,10.0,8.0,3.0,40.0
2025-06-19--18h-42m-38s,17.0,13.0,6.0,4.0,40.0
2025-06-19--18h-42m-38s,11.0,12.0,9.0,8.0,40.0
2025-06-19--18h-42m-38s,11.0,13.0,14.0,2.0,40.0
2025-06-19--18h-42m-38s,17.0,11.0,10.0,2.0,40.0
2025-06-19--18h-42m-38s,14.0,11.0,9.0,6.0,40.0
2025-06-19--18h-42m-38s,17.0,10.0,10.0,3.0,40.0
2025-06-19--18h-42m-38s,18.0,12.0,8.0,2.0,40.0
2025-06-19--18h-42m-38s,19.0,13.0,7.0,1.0,40.0
2025-06-19--18h-42m-38s,18.0,10.0,8.0,4.0,40.0
2025-06-19--18h-42m-38s,17.0,8.0,11.0,4.0,40.0
2025-06-19--18h-42m-38s,21.0,10.0,5.0,4.0,40.0
2025-06-19--18h-42m-38s,14.0,9.0,14.0,3.0,40.0
2025-06-19--18h-42m-38s,15.0,12.0,11.0,2.0,40.0
2025-06-19--18h-42m-38s,18.0,11.0,9.0,2.0,40.0
2025-06-19--18h-42m-38s,13.0,11.0,15.0,1.0,40.0
2025-06-19--18h-42m-38s,8.0,17.0,11.0,4.0,40.0
2025-06-19--18h-42m-38s,16.0,10.0,9.0,5.0,40.0
2025-06-19--18h-42m-38s,20.0,7.0,11.0,2.0,40.0
2025-06-19--18h-42m-38s,17.0,7.0,14.0,2.0,40.0
2025-06-19--18h-42m-38s,13.0,20.0,3.0,4.0,40.0
2025-06-19--18h-42m-38s,16.0,7.0,11.0,6.0,40.0
2025-06-19--18h-42m-38s,20.0,3.0,14.0,3.0,40.0
2025-06-19--18h-42m-38s,15.0,14.0,9.0,2.0,40.0
2025-06-19--18h-42m-38s,15.0,13.0,11.0,1.0,40.0
2025-06-19--18h-42m-38s,18.0,7.0,11.0,4.0,40.0
2025-06-19--18h-42m-38s,17.0,8.0,12.0,3.0,40.0
2025-06-19--18h-42m-38s,12.0,10.0,13.0,5.0,40.0
2025-06-19--18h-42m-38s,14.0,12.0,11.0,3.0,40.0
2025-06-19--18h-42m-38s,14.0,11.0,12.0,3.0,40.0
2025-06-19--18h-42m-38s,16.0,10.0,11.0,3.0,40.0
2025-06-19--18h-42m-38s,13.0,9.0,12.0,6.0,40.0
2025-06-19--18h-42m-38s,14.0,15.0,8.0,3.0,40.0
2025-06-19--18h-42m-38s,20.0,11.0,5.0,4.0,40.0
2025-06-19--18h-42m-38s,17.0,12.0,6.0,5.0,40.0
2025-06-19--18h-42m-38s,15.0,10.0,9.0,6.0,40.0
2025-06-19--18h-42m-38s,15.0,9.0,10.0,6.0,40.0
2025-06-19--18h-42m-38s,19.0,8.0,7.0,6.0,40.0
2025-06-19--18h-42m-38s,12.0,13.0,12.0,3.0,40.0
2025-06-19--18h-42m-38s,10.0,12.0,12.0,6.0,40.0
2025-06-19--18h-42m-38s,14.0,13.0,11.0,2.0,40.0
2025-06-19--18h-42m-38s,20.0,11.0,7.0,2.0,40.0
2025-06-19--18h-42m-38s,19.0,11.0,8.0,2.0,40.0
2025-06-19--18h-42m-38s,20.0,6.0,12.0,2.0,40.0
2025-06-19--18h-42m-38s,22.0,5.0,9.0,4.0,40.0
2025-06-19--18h-42m-38s,17.0,10.0,10.0,3.0,40.0
2025-06-19--18h-42m-38s,12.0,10.0,12.0,6.0,40.0
2025-06-19--18h-42m-38s,17.0,15.0,4.0,4.0,40.0
2025-06-19--18h-42m-38s,19.0,10.0,6.0,5.0,40.0
2025-06-19--18h-42m-38s,11.0,10.0,12.0,7.0,40.0
2025-06-19--18h-42m-38s,16.0,13.0,5.0,6.0,40.0
2025-06-19--18h-42m-38s,9.0,15.0,11.0,5.0,40.0
2025-06-19--18h-42m-38s,17.0,6.0,12.0,5.0,40.0
2025-06-19--18h-42m-38s,12.0,14.0,12.0,2.0,40.0
2025-06-19--18h-42m-38s,15.0,9.0,11.0,5.0,40.0
2025-06-19--18h-42m-38s,16.0,12.0,9.0,3.0,40.0
2025-06-19--18h-42m-38s,14.0,14.0,10.0,2.0,40.0
2025-06-19--18h-42m-38s,14.0,8.0,15.0,3.0,40.0
2025-06-19--18h-42m-38s,22.0,6.0,11.0,1.0,40.0
2025-06-19--18h-42m-38s,14.0,14.0,8.0,4.0,40.0
2025-06-19--18h-42m-38s,10.0,9.0,13.0,8.0,40.0
2025-06-19--18h-42m-38s,20.0,9.0,5.0,6.0,40.0
2025-06-19--18h-42m-38s,19.0,7.0,10.0,4.0,40.0
2025-06-19--18h-42m-38s,10.0,15.0,15.0,0.0,40.0
2025-06-19--18h-42m-38s,11.0,12.0,13.0,4.0,40.0
2025-06-19--18h-42m-38s,18.0,12.0,10.0,0.0,40.0
2025-06-19--18h-42m-38s,12.0,14.0,10.0,4.0,40.0
2025-06-19--18h-42m-38s,19.0,11.0,3.0,7.0,40.0
2025-06-19--18h-42m-38s,12.0,15.0,9.0,4.0,40.0
2025-06-19--18h-42m-38s,13.0,8.0,9.0,10.0,40.0
2025-06-19--18h-42m-38s,16.0,15.0,8.0,1.0,40.0
2025-06-19--18h-42m-38s,14.0,11.0,12.0,3.0,40.0
2025-06-19--18h-42m-38s,15.0,12.0,9.0,4.0,40.0
2025-06-19--18h-42m-38s,20.0,7.0,10.0,3.0,40.0
2025-06-19--18h-42m-38s,15.0,10.0,8.0,7.0,40.0
2025-06-19--18h-42m-38s,9.0,11.0,12.0,8.0,40.0
2025-06-19--18h-42m-38s,17.0,12.0,9.0,2.0,40.0
2025-06-19--18h-42m-38s,16.0,9.0,13.0,2.0,40.0
2025-06-19--18h-42m-38s,15.0,9.0,12.0,4.0,40.0
2025-06-19--18h-42m-38s,20.0,7.0,12.0,1.0,40.0
2025-06-19--18h-42m-38s,14.0,11.0,12.0,3.0,40.0
2025-06-19--18h-42m-38s,14.0,10.0,14.0,2.0,40.0
2025-06-19--18h-42m-38s,18.0,9.0,10.0,3.0,40.0
2025-06-19--18h-42m-38s,8.0,16.0,14.0,2.0,40.0
2025-06-19--18h-42m-38s,20.0,7.0,10.0,3.0,40.0
2025-06-19--18h-42m-38s,17.0,9.0,11.0,3.0,40.0
2025-06-19--18h-42m-38s,16.0,13.0,9.0,2.0,40.0
2025-06-19--18h-42m-38s,13.0,15.0,12.0,0.0,40.0
2025-06-19--18h-42m-38s,16.0,11.0,8.0,5.0,40.0
2025-06-19--18h-42m-38s,16.0,10.0,9.0,5.0,40.0
2025-06-19--18h-42m-38s,18.0,11.0,10.0,1.0,40.0
2025-06-19--18h-42m-38s,18.0,9.0,9.0,4.0,40.0
