data_dir,C',HH,SB,VV,N
2025-07-03--15h-44m-51s,0.0,40.0,0.0,0.0,40.0
2025-07-03--15h-44m-51s,0.0,40.0,0.0,0.0,40.0
2025-07-03--15h-44m-51s,0.0,40.0,0.0,0.0,40.0
2025-07-03--15h-44m-51s,0.0,40.0,0.0,0.0,40.0
2025-07-03--15h-44m-51s,0.0,40.0,0.0,0.0,40.0
2025-07-03--15h-44m-51s,0.0,40.0,0.0,0.0,40.0
2025-07-03--15h-44m-51s,0.0,40.0,0.0,0.0,40.0
2025-07-03--15h-44m-51s,0.0,40.0,0.0,0.0,40.0
2025-07-03--15h-44m-51s,0.0,40.0,0.0,0.0,40.0
2025-07-03--15h-44m-51s,0.0,40.0,0.0,0.0,40.0
2025-07-03--15h-44m-51s,0.0,40.0,0.0,0.0,40.0
2025-07-03--15h-44m-51s,0.0,40.0,0.0,0.0,40.0
2025-07-03--15h-44m-51s,0.0,40.0,0.0,0.0,40.0
2025-07-03--15h-44m-51s,0.0,40.0,0.0,0.0,40.0
2025-07-03--15h-44m-51s,0.0,40.0,0.0,0.0,40.0
2025-07-03--15h-44m-51s,0.0,40.0,0.0,0.0,40.0
2025-07-03--15h-44m-51s,0.0,40.0,0.0,0.0,40.0
2025-07-03--15h-44m-51s,0.0,40.0,0.0,0.0,40.0
2025-07-03--15h-44m-51s,0.0,40.0,0.0,0.0,40.0
2025-07-03--15h-44m-51s,0.0,40.0,0.0,0.0,40.0
2025-07-03--15h-44m-51s,0.0,40.0,0.0,0.0,40.0
2025-07-03--15h-44m-51s,0.0,40.0,0.0,0.0,40.0
2025-07-03--15h-44m-51s,0.0,40.0,0.0,0.0,40.0
2025-07-03--15h-44m-51s,0.0,40.0,0.0,0.0,40.0
2025-07-03--15h-44m-51s,0.0,40.0,0.0,0.0,40.0
2025-07-03--15h-44m-51s,0.0,40.0,0.0,0.0,40.0
2025-07-03--15h-44m-51s,0.0,40.0,0.0,0.0,40.0
2025-07-03--15h-44m-51s,0.0,40.0,0.0,0.0,40.0
2025-07-03--15h-44m-51s,0.0,40.0,0.0,0.0,40.0
2025-07-03--15h-44m-51s,0.0,40.0,0.0,0.0,40.0
2025-07-03--15h-44m-51s,0.0,40.0,0.0,0.0,40.0
2025-07-03--15h-44m-51s,0.0,40.0,0.0,0.0,40.0
2025-07-03--15h-44m-51s,0.0,40.0,0.0,0.0,40.0
2025-07-03--15h-44m-51s,0.0,40.0,0.0,0.0,40.0
2025-07-03--15h-44m-51s,0.0,40.0,0.0,0.0,40.0
2025-07-03--15h-44m-51s,0.0,40.0,0.0,0.0,40.0
2025-07-03--15h-44m-51s,0.0,40.0,0.0,0.0,40.0
2025-07-03--15h-44m-51s,0.0,40.0,0.0,0.0,40.0
2025-07-03--15h-44m-51s,0.0,40.0,0.0,0.0,40.0
2025-07-03--15h-44m-51s,0.0,40.0,0.0,0.0,40.0
2025-07-03--15h-44m-51s,0.0,40.0,0.0,0.0,40.0
2025-07-03--15h-44m-51s,0.0,40.0,0.0,0.0,40.0
2025-07-03--15h-44m-51s,0.0,40.0,0.0,0.0,40.0
2025-07-03--15h-44m-51s,0.0,40.0,0.0,0.0,40.0
2025-07-03--15h-44m-51s,0.0,40.0,0.0,0.0,40.0
2025-07-03--15h-44m-51s,0.0,40.0,0.0,0.0,40.0
2025-07-03--15h-44m-51s,0.0,39.0,1.0,0.0,40.0
2025-07-03--15h-44m-51s,0.0,40.0,0.0,0.0,40.0
2025-07-03--15h-44m-51s,0.0,40.0,0.0,0.0,40.0
2025-07-03--15h-44m-51s,0.0,39.0,1.0,0.0,40.0
2025-07-03--15h-44m-51s,0.0,40.0,0.0,0.0,40.0
2025-07-03--15h-44m-51s,0.0,40.0,0.0,0.0,40.0
2025-07-03--15h-44m-51s,0.0,40.0,0.0,0.0,40.0
2025-07-03--15h-44m-51s,0.0,40.0,0.0,0.0,40.0
2025-07-03--15h-44m-51s,0.0,40.0,0.0,0.0,40.0
2025-07-03--15h-44m-51s,0.0,40.0,0.0,0.0,40.0
2025-07-03--15h-44m-51s,0.0,40.0,0.0,0.0,40.0
2025-07-03--15h-44m-51s,0.0,40.0,0.0,0.0,40.0
2025-07-03--15h-44m-51s,0.0,40.0,0.0,0.0,40.0
2025-07-03--15h-44m-51s,0.0,40.0,0.0,0.0,40.0
2025-07-03--15h-44m-51s,0.0,40.0,0.0,0.0,40.0
2025-07-03--15h-44m-51s,0.0,40.0,0.0,0.0,40.0
2025-07-03--15h-44m-51s,0.0,40.0,0.0,0.0,40.0
2025-07-03--15h-44m-51s,0.0,40.0,0.0,0.0,40.0
2025-07-03--15h-44m-51s,0.0,40.0,0.0,0.0,40.0
2025-07-03--15h-44m-51s,0.0,40.0,0.0,0.0,40.0
2025-07-03--15h-44m-51s,0.0,40.0,0.0,0.0,40.0
2025-07-03--15h-44m-51s,0.0,40.0,0.0,0.0,40.0
2025-07-03--15h-44m-51s,0.0,40.0,0.0,0.0,40.0
2025-07-03--15h-44m-51s,0.0,40.0,0.0,0.0,40.0
2025-07-03--15h-44m-51s,0.0,40.0,0.0,0.0,40.0
2025-07-03--15h-44m-51s,0.0,40.0,0.0,0.0,40.0
2025-07-03--15h-44m-51s,0.0,40.0,0.0,0.0,40.0
2025-07-03--15h-44m-51s,0.0,40.0,0.0,0.0,40.0
2025-07-03--15h-44m-51s,0.0,40.0,0.0,0.0,40.0
2025-07-03--15h-44m-51s,0.0,40.0,0.0,0.0,40.0
2025-07-03--15h-44m-51s,0.0,40.0,0.0,0.0,40.0
2025-07-03--15h-44m-51s,0.0,39.0,1.0,0.0,40.0
2025-07-03--15h-44m-51s,0.0,40.0,0.0,0.0,40.0
2025-07-03--15h-44m-51s,0.0,40.0,0.0,0.0,40.0
2025-07-03--15h-44m-51s,0.0,40.0,0.0,0.0,40.0
2025-07-03--15h-44m-51s,0.0,40.0,0.0,0.0,40.0
2025-07-03--15h-44m-51s,0.0,40.0,0.0,0.0,40.0
2025-07-03--15h-44m-51s,0.0,40.0,0.0,0.0,40.0
2025-07-03--15h-44m-51s,0.0,40.0,0.0,0.0,40.0
2025-07-03--15h-44m-51s,0.0,40.0,0.0,0.0,40.0
2025-07-03--15h-44m-51s,0.0,40.0,0.0,0.0,40.0
2025-07-03--15h-44m-51s,0.0,40.0,0.0,0.0,40.0
2025-07-03--15h-44m-51s,0.0,40.0,0.0,0.0,40.0
2025-07-03--15h-44m-51s,0.0,40.0,0.0,0.0,40.0
2025-07-03--15h-44m-51s,0.0,40.0,0.0,0.0,40.0
2025-07-03--15h-44m-51s,0.0,40.0,0.0,0.0,40.0
2025-07-03--15h-44m-51s,0.0,40.0,0.0,0.0,40.0
2025-07-03--15h-44m-51s,0.0,40.0,0.0,0.0,40.0
2025-07-03--15h-44m-51s,0.0,40.0,0.0,0.0,40.0
2025-07-03--15h-44m-51s,0.0,40.0,0.0,0.0,40.0
2025-07-03--15h-44m-51s,0.0,39.0,1.0,0.0,40.0
2025-07-03--15h-44m-51s,0.0,40.0,0.0,0.0,40.0
2025-07-03--15h-44m-51s,0.0,40.0,0.0,0.0,40.0
2025-07-03--15h-44m-51s,0.0,40.0,0.0,0.0,40.0
2025-07-03--15h-44m-51s,0.0,40.0,0.0,0.0,40.0
2025-07-03--15h-44m-51s,0.0,40.0,0.0,0.0,40.0
2025-07-03--15h-44m-51s,0.0,40.0,0.0,0.0,40.0
2025-07-03--15h-44m-51s,0.0,40.0,0.0,0.0,40.0
2025-07-03--15h-44m-51s,0.0,40.0,0.0,0.0,40.0
2025-07-03--15h-44m-51s,0.0,40.0,0.0,0.0,40.0
2025-07-03--15h-44m-51s,0.0,40.0,0.0,0.0,40.0
2025-07-03--15h-44m-51s,0.0,40.0,0.0,0.0,40.0
2025-07-03--15h-44m-51s,0.0,40.0,0.0,0.0,40.0
2025-07-03--15h-44m-51s,0.0,40.0,0.0,0.0,40.0
2025-07-03--15h-44m-51s,0.0,40.0,0.0,0.0,40.0
2025-07-03--15h-44m-51s,0.0,40.0,0.0,0.0,40.0
2025-07-03--15h-44m-51s,0.0,40.0,0.0,0.0,40.0
2025-07-03--15h-44m-51s,0.0,40.0,0.0,0.0,40.0
2025-07-03--15h-44m-51s,0.0,40.0,0.0,0.0,40.0
2025-07-03--15h-44m-51s,0.0,40.0,0.0,0.0,40.0
2025-07-03--15h-44m-51s,0.0,40.0,0.0,0.0,40.0
2025-07-03--15h-44m-51s,0.0,40.0,0.0,0.0,40.0
2025-07-03--15h-44m-51s,0.0,40.0,0.0,0.0,40.0
2025-07-03--15h-44m-51s,0.0,40.0,0.0,0.0,40.0
2025-07-03--15h-44m-51s,0.0,40.0,0.0,0.0,40.0
2025-07-03--15h-44m-51s,0.0,40.0,0.0,0.0,40.0
2025-07-03--15h-44m-51s,0.0,40.0,0.0,0.0,40.0
2025-07-03--15h-44m-51s,0.0,40.0,0.0,0.0,40.0
2025-07-03--15h-44m-51s,0.0,40.0,0.0,0.0,40.0
2025-07-03--15h-44m-51s,0.0,40.0,0.0,0.0,40.0
2025-07-03--15h-44m-51s,0.0,40.0,0.0,0.0,40.0
2025-07-03--15h-44m-51s,0.0,39.0,1.0,0.0,40.0
2025-07-03--15h-44m-51s,0.0,40.0,0.0,0.0,40.0
2025-07-03--15h-44m-51s,0.0,40.0,0.0,0.0,40.0
2025-07-03--15h-44m-51s,0.0,40.0,0.0,0.0,40.0
2025-07-03--15h-44m-51s,0.0,40.0,0.0,0.0,40.0
2025-07-03--15h-44m-51s,0.0,40.0,0.0,0.0,40.0
2025-07-03--15h-44m-51s,0.0,40.0,0.0,0.0,40.0
2025-07-03--15h-44m-51s,0.0,40.0,0.0,0.0,40.0
2025-07-03--15h-44m-51s,0.0,40.0,0.0,0.0,40.0
2025-07-03--15h-44m-51s,0.0,40.0,0.0,0.0,40.0
2025-07-03--15h-44m-51s,0.0,40.0,0.0,0.0,40.0
2025-07-03--15h-44m-51s,0.0,40.0,0.0,0.0,40.0
2025-07-03--15h-44m-51s,0.0,40.0,0.0,0.0,40.0
2025-07-03--15h-44m-51s,0.0,40.0,0.0,0.0,40.0
2025-07-03--15h-44m-51s,0.0,40.0,0.0,0.0,40.0
2025-07-03--15h-44m-51s,0.0,40.0,0.0,0.0,40.0
2025-07-03--15h-44m-51s,0.0,40.0,0.0,0.0,40.0
2025-07-03--15h-44m-51s,0.0,40.0,0.0,0.0,40.0
2025-07-03--15h-44m-51s,0.0,40.0,0.0,0.0,40.0
2025-07-03--15h-44m-51s,0.0,40.0,0.0,0.0,40.0
2025-07-03--15h-44m-51s,0.0,40.0,0.0,0.0,40.0
2025-07-03--15h-44m-51s,0.0,40.0,0.0,0.0,40.0
2025-07-03--15h-44m-51s,0.0,40.0,0.0,0.0,40.0
2025-07-03--15h-44m-51s,0.0,40.0,0.0,0.0,40.0
2025-07-03--15h-44m-51s,0.0,40.0,0.0,0.0,40.0
2025-07-03--15h-44m-51s,0.0,40.0,0.0,0.0,40.0
2025-07-03--15h-44m-51s,0.0,40.0,0.0,0.0,40.0
2025-07-03--15h-44m-51s,0.0,40.0,0.0,0.0,40.0
2025-07-03--15h-44m-51s,0.0,40.0,0.0,0.0,40.0
2025-07-03--15h-44m-51s,0.0,40.0,0.0,0.0,40.0
2025-07-03--15h-44m-51s,0.0,40.0,0.0,0.0,40.0
2025-07-03--15h-44m-51s,0.0,40.0,0.0,0.0,40.0
2025-07-03--15h-44m-51s,0.0,40.0,0.0,0.0,40.0
2025-07-03--15h-44m-51s,0.0,40.0,0.0,0.0,40.0
2025-07-03--15h-44m-51s,0.0,40.0,0.0,0.0,40.0
2025-07-03--15h-44m-51s,0.0,40.0,0.0,0.0,40.0
2025-07-03--15h-44m-51s,0.0,40.0,0.0,0.0,40.0
2025-07-03--15h-44m-51s,0.0,40.0,0.0,0.0,40.0
2025-07-03--15h-44m-51s,0.0,40.0,0.0,0.0,40.0
2025-07-03--15h-44m-51s,0.0,40.0,0.0,0.0,40.0
2025-07-03--15h-44m-51s,0.0,40.0,0.0,0.0,40.0
2025-07-03--15h-44m-51s,0.0,40.0,0.0,0.0,40.0
2025-07-03--15h-44m-51s,0.0,40.0,0.0,0.0,40.0
2025-07-03--15h-44m-51s,0.0,40.0,0.0,0.0,40.0
2025-07-03--15h-44m-51s,0.0,40.0,0.0,0.0,40.0
2025-07-03--15h-44m-51s,0.0,40.0,0.0,0.0,40.0
2025-07-03--15h-44m-51s,0.0,40.0,0.0,0.0,40.0
2025-07-03--15h-44m-51s,0.0,40.0,0.0,0.0,40.0
2025-07-03--15h-44m-51s,0.0,40.0,0.0,0.0,40.0
2025-07-03--15h-44m-51s,0.0,40.0,0.0,0.0,40.0
2025-07-03--15h-44m-51s,0.0,40.0,0.0,0.0,40.0
2025-07-03--15h-44m-51s,0.0,40.0,0.0,0.0,40.0
2025-07-03--15h-44m-51s,0.0,40.0,0.0,0.0,40.0
2025-07-03--15h-44m-51s,0.0,40.0,0.0,0.0,40.0
2025-07-03--15h-44m-51s,0.0,40.0,0.0,0.0,40.0
2025-07-03--15h-44m-51s,0.0,40.0,0.0,0.0,40.0
2025-07-03--15h-44m-51s,0.0,40.0,0.0,0.0,40.0
2025-07-03--15h-44m-51s,0.0,40.0,0.0,0.0,40.0
2025-07-03--15h-44m-51s,0.0,40.0,0.0,0.0,40.0
2025-07-03--15h-44m-51s,0.0,40.0,0.0,0.0,40.0
2025-07-03--15h-44m-51s,0.0,40.0,0.0,0.0,40.0
2025-07-03--15h-44m-51s,0.0,40.0,0.0,0.0,40.0
2025-07-03--15h-44m-51s,0.0,40.0,0.0,0.0,40.0
2025-07-03--15h-44m-51s,0.0,40.0,0.0,0.0,40.0
2025-07-03--15h-44m-51s,0.0,40.0,0.0,0.0,40.0
2025-07-03--15h-44m-51s,0.0,40.0,0.0,0.0,40.0
2025-07-03--15h-44m-51s,0.0,40.0,0.0,0.0,40.0
2025-07-03--15h-44m-51s,0.0,40.0,0.0,0.0,40.0
2025-07-03--15h-44m-51s,0.0,40.0,0.0,0.0,40.0
2025-07-03--15h-44m-51s,0.0,40.0,0.0,0.0,40.0
2025-07-03--15h-44m-51s,0.0,40.0,0.0,0.0,40.0
2025-07-03--15h-44m-51s,0.0,40.0,0.0,0.0,40.0
2025-07-03--15h-44m-51s,0.0,40.0,0.0,0.0,40.0
2025-07-03--15h-44m-51s,0.0,40.0,0.0,0.0,40.0
2025-07-03--15h-44m-51s,0.0,40.0,0.0,0.0,40.0
2025-07-03--15h-44m-51s,0.0,40.0,0.0,0.0,40.0
2025-07-03--15h-44m-51s,0.0,40.0,0.0,0.0,40.0
2025-07-03--15h-44m-51s,0.0,40.0,0.0,0.0,40.0
2025-07-03--15h-44m-51s,1.0,39.0,0.0,0.0,40.0
2025-07-03--15h-44m-51s,0.0,40.0,0.0,0.0,40.0
2025-07-03--15h-44m-51s,0.0,40.0,0.0,0.0,40.0
2025-07-03--15h-44m-51s,0.0,40.0,0.0,0.0,40.0
2025-07-03--15h-44m-51s,0.0,40.0,0.0,0.0,40.0
2025-07-03--15h-44m-51s,0.0,40.0,0.0,0.0,40.0
2025-07-03--15h-44m-51s,0.0,40.0,0.0,0.0,40.0
2025-07-03--15h-44m-51s,0.0,40.0,0.0,0.0,40.0
2025-07-03--15h-44m-51s,0.0,40.0,0.0,0.0,40.0
2025-07-03--15h-44m-51s,0.0,40.0,0.0,0.0,40.0
2025-07-03--15h-44m-51s,0.0,40.0,0.0,0.0,40.0
2025-07-03--15h-44m-51s,0.0,40.0,0.0,0.0,40.0
2025-07-03--15h-44m-51s,0.0,40.0,0.0,0.0,40.0
2025-07-03--15h-44m-51s,0.0,40.0,0.0,0.0,40.0
2025-07-03--15h-44m-51s,0.0,40.0,0.0,0.0,40.0
2025-07-03--15h-44m-51s,0.0,40.0,0.0,0.0,40.0
2025-07-03--15h-44m-51s,0.0,40.0,0.0,0.0,40.0
2025-07-03--15h-44m-51s,0.0,40.0,0.0,0.0,40.0
2025-07-03--15h-44m-51s,0.0,40.0,0.0,0.0,40.0
2025-07-03--15h-44m-51s,0.0,40.0,0.0,0.0,40.0
2025-07-03--15h-44m-51s,0.0,40.0,0.0,0.0,40.0
2025-07-03--15h-44m-51s,0.0,40.0,0.0,0.0,40.0
2025-07-03--15h-44m-51s,0.0,40.0,0.0,0.0,40.0
2025-07-03--15h-44m-51s,0.0,40.0,0.0,0.0,40.0
2025-07-03--15h-44m-51s,1.0,39.0,0.0,0.0,40.0
2025-07-03--15h-44m-51s,0.0,40.0,0.0,0.0,40.0
2025-07-03--15h-44m-51s,0.0,40.0,0.0,0.0,40.0
2025-07-03--15h-44m-51s,0.0,40.0,0.0,0.0,40.0
2025-07-03--15h-44m-51s,0.0,40.0,0.0,0.0,40.0
2025-07-03--15h-44m-51s,0.0,40.0,0.0,0.0,40.0
2025-07-03--15h-44m-51s,0.0,40.0,0.0,0.0,40.0
2025-07-03--15h-44m-51s,0.0,40.0,0.0,0.0,40.0
2025-07-03--15h-44m-51s,0.0,40.0,0.0,0.0,40.0
2025-07-03--15h-44m-51s,0.0,40.0,0.0,0.0,40.0
2025-07-03--15h-44m-51s,0.0,40.0,0.0,0.0,40.0
2025-07-03--15h-44m-51s,0.0,40.0,0.0,0.0,40.0
2025-07-03--15h-44m-51s,0.0,40.0,0.0,0.0,40.0
2025-07-03--15h-44m-51s,0.0,39.0,1.0,0.0,40.0
2025-07-03--15h-44m-51s,0.0,40.0,0.0,0.0,40.0
2025-07-03--15h-44m-51s,0.0,40.0,0.0,0.0,40.0
2025-07-03--15h-44m-51s,0.0,40.0,0.0,0.0,40.0
2025-07-03--15h-44m-51s,0.0,40.0,0.0,0.0,40.0
2025-07-03--15h-44m-51s,0.0,40.0,0.0,0.0,40.0
2025-07-03--15h-44m-51s,0.0,40.0,0.0,0.0,40.0
2025-07-03--15h-44m-51s,0.0,39.0,1.0,0.0,40.0
2025-07-03--15h-44m-51s,0.0,40.0,0.0,0.0,40.0
2025-07-03--15h-44m-51s,0.0,40.0,0.0,0.0,40.0
2025-07-03--15h-44m-51s,0.0,40.0,0.0,0.0,40.0
2025-07-03--15h-44m-51s,0.0,40.0,0.0,0.0,40.0
2025-07-03--15h-44m-51s,0.0,40.0,0.0,0.0,40.0
